WKT,name,lon,lat,x,y,z,cluster,color
POINT (-115.1773029 36.1340222),"Dunn & Son-Electronic Recycler,",-115.1773029,36.1340222,-0.34358681936861896,-0.7309105749082192,0.5896760373658511,1,#31688e
POINT (-115.0950393 36.24378960000001),"Nevada Recycling,",-115.0950393,36.24378960000001,-0.3420572865837249,-0.7303787265058457,0.5912222328047877,1,#31688e
POINT (-115.1867236 36.1314064),"Sustain Vegas,",-115.1867236,36.1314064,-0.3437184491845345,-0.7308784326945807,0.589639164499859,1,#31688e
POINT (-115.162006 36.1497229),"Nevada State Recycle,",-115.162006,36.1497229,-0.3433229508252603,-0.7308559976192304,0.5898973318982172,1,#31688e
POINT (-119.7032542 39.1873735),"Greener World Recycling,",-119.7032542,39.1873735,-0.38406020235990795,-0.6732403617416816,0.6318585097038706,1,#31688e
POINT (-115.1867236 36.1314064),"Sustain Vegas,",-115.1867236,36.1314064,-0.3437184491845345,-0.7308784326945807,0.589639164499859,1,#31688e
POINT (-115.0214283 36.0634525),"Nevada Recycling,",-115.0214283,36.0634525,-0.3419040195737234,-0.7325001761886771,0.5886808416135928,1,#31688e
POINT (-119.7008748 39.188014),"NV Recycling LLC,",-119.7008748,39.188014,-0.38402874369689316,-0.673250175036758,0.6318671741968883,1,#31688e
POINT (-115.129013 35.987648),"PedalPoint evTerra Recycling,",-115.129013,35.987648,-0.34360928000068963,-0.7325613811820879,0.5876108282681655,1,#31688e
POINT (-115.1854335 36.078715),"BB Recycling,",-115.1854335,36.078715,-0.3439326030359391,-0.7313765682257525,0.5888961538499334,1,#31688e
POINT (-115.0950232 36.2437766),"Nevada Recycling,",-115.0950232,36.2437766,-0.3420571382420194,-0.7303789441048409,0.5912220498137546,1,#31688e
POINT (-115.193616 36.0451545),"Advanced Technology Recycling (ATR),",-115.193616,36.0451545,-0.34418382338746556,-0.7316394458274865,0.5884226516948802,1,#31688e
POINT (-115.1773029 36.1340222),"Dunn & Son-Electronic Recycler,",-115.1773029,36.1340222,-0.34358681936861896,-0.7309105749082192,0.5896760373658511,1,#31688e
